No,Ref,V,BV,UB
333,240,17.509,0.976,
334,240,16.976,1.28,1.188
335,240,15.83,0.995,0.746
336,240,17.128,0.942,0.673
337,240,16.556,0.663,-0.065
338,240,17.757,0.994,
339,240,18.727,1.08,
340,240,16.266,0.687,0.123
341,240,18.986,1.02,
342,240,18.201,1.103,
343,240,16.879,0.818,0.425
344,240,18.78,1.116,
345,240,17.241,0.938,0.262
346,240,19.106,0.874,
347,240,19.318,0.781,
348,240,17.341,0.925,
349,240,18.481,0.92,
350,240,18.788,0.768,-0.056
351,240,16.475,0.954,0.724
352,240,17.463,1.323,
353,240,16.079,0.668,0.077
354,240,17.73,0.362,-0.331
356,240,18.157,1.083,
357,240,17.301,0.936,0.64
358,240,18.699,1.192,
359,240,17.717,1.135,
360,240,18.985,1.124,
361,240,18.961,1.49,
362,240,18.179,1.167,
363,240,16.203,0.785,0.252
364,240,17.762,0.617,-0.069
365,240,16.688,0.755,0.203
366,240,19.112,1.385,
367,240,18.046,1.09,
368,240,16.797,0.824,0.383
369,240,17,0.859,0.447
370,240,16.943,1.562,
371,240,19.147,0.759,
372,240,18.022,0.626,-0.011
373,240,18.377,1.162,
374,240,18.456,1.161,
375,240,19.815,0.564,
376,240,16.178,0.99,0.878
377,240,17.255,0.921,0.54
378,240,17.277,0.891,0.52
379,240,16.362,0.734,0.307
380,240,16.716,0.713,0.159
381,240,17.695,1.275,
382,240,17.194,0.913,0.492
383,240,16.859,0.96,0.636
384,240,13.724,1.205,1.145
385,240,16.63,0.793,0.286
387,240,20.119,0.609,
388,240,19.87,0.679,
389,240,18.23,0.881,
390,240,17.636,1.038,
391,240,16.414,0.899,
392,240,18.736,1.208,
393,240,17.8,1.043,
394,240,17.816,1.029,
395,240,16.321,1.133,1.054
396,240,18.021,0.585,-0.031
397,240,16.889,0.851,0.32
398,240,19.182,1.222,
399,240,16.828,0.821,0.362
400,240,16.883,0.854,0.357
401,240,18.139,1.088,
402,240,16.082,0.82,0.455
403,240,16.768,0.934,0.568
404,240,19.142,1.606,
405,240,18.573,1.048,
406,240,17.315,0.932,0.702
407,240,18.195,0.86,
408,240,18.712,1.505,
409,240,18.225,0.699,-0.101
410,240,18.593,1.328,
411,240,15.971,0.708,0.187
412,240,17.156,0.862,0.52
413,240,17.924,1.171,
414,240,17.04,0.951,0.668
415,240,18.018,1.071,
416,240,17.806,1.178,
417,240,18.12,0.842,
418,240,17.673,1.238,
419,240,17.42,0.587,-0.067
420,240,19.383,1.132,
421,240,17.5,0.879,0.497
422,240,18.366,1.027,
423,240,17.205,0.895,0.495
424,240,18.759,1.501,
425,240,17.021,0.885,0.516
426,240,18.824,0.544,
427,240,17.811,1.002,
428,240,19.34,0.954,
429,240,18.479,1.161,
430,240,18.322,1.087,
431,240,18.663,0.94,
432,240,18.125,1.154,
433,240,16.95,1.125,0.857
434,240,16.958,1.277,
435,240,18.462,1.23,
436,240,17.23,0.889,0.479
437,240,18.642,1.146,
438,240,16.8,0.861,0.43
439,240,18.674,0.642,
440,240,17.71,1.504,
441,240,17.623,1.098,
442,240,17.355,0.899,0.475
443,240,17.292,0.634,-0.02
444,240,18.65,1.193,
446,240,18.445,1.325,
447,240,18.967,1.338,
448,240,18.09,1.092,
449,240,16.429,0.77,0.225
450,240,18.951,1.03,
451,240,17.61,0.748,0.14
452,240,19.518,1.371,
453,240,18.338,1.111,
454,240,17.49,0.999,0.549
455,240,19.397,0.714,
456,240,12.164,0.517,-0.007
457,240,16.872,0.845,0.455
458,240,17.64,1.012,
459,240,17.153,0.921,0.535
460,240,16.876,0.818,0.393
461,240,18.043,1.217,
462,240,18.529,0.829,
463,240,19.58,0.64,
464,240,17.722,1.158,
465,240,19.165,1.482,
466,240,17.376,1.2,
467,240,18.314,1.079,
468,240,17.362,0.717,0.238
469,240,16.204,0.655,0.031
470,240,18.616,1.278,
471,240,17.254,1.119,0.837
472,240,19.117,1.287,
473,240,17.997,1.058,0.556
474,240,17.544,1.01,
475,240,17.505,0.673,0.001
476,240,17.784,0.997,
477,240,17.239,0.876,0.423
478,240,16.509,0.754,0.219
479,240,17.914,0.68,-0.132
480,240,18.732,1.092,
481,240,17.42,0.988,
482,240,19.777,0.918,
483,240,17.733,0.898,
484,240,18.951,0.586,
485,240,18.351,1.232,
486,240,17.825,0.961,
487,240,18.201,1.187,
488,240,18.097,0.997,
489,240,12.93,0.664,0.141
490,240,17.306,0.701,0.017
491,240,16.683,0.896,0.51
492,240,17.743,1.031,
493,240,17.606,1.005,
495,240,19.733,0.841,
496,240,17.519,1.109,3.409
497,240,18.65,1.04,
498,240,17.594,1.462,
499,240,18.159,0.686,
500,240,18.453,0.792,
501,240,18.645,1.043,
502,240,18.382,1.121,
503,240,17.887,0.698,-0.004
504,240,18.649,0.889,
505,240,18.212,1.039,
506,240,17.298,0.911,0.518
507,240,18.657,1.549,
508,240,16.895,0.653,-0.06
509,240,18.58,1.148,
510,240,18.392,1.158,
511,240,18.84,0.887,
512,240,17.558,0.982,0.589
513,240,17.73,1.167,
514,240,15.232,0.681,0.14
515,240,18.687,1.542,
516,240,17.396,0.923,
519,240,19.687,0.82,
520,240,16.902,0.67,0.017
521,240,17.468,0.971,0.591
522,240,19.236,0.953,
523,240,19.473,0.885,
524,240,18.231,1.13,
525,240,19.173,1.138,
526,240,18.067,1.108,
527,240,16.484,0.714,0.099
528,240,18.858,1.05,
529,240,18.877,1.509,
530,240,17.196,0.932,0.422
531,240,16.85,0.836,0.363
532,240,17.097,0.945,0.515
533,240,16.584,0.798,0.208
534,240,19.182,1.524,
535,240,18.938,0.904,
536,240,15.086,0.689,0.144
537,240,17.515,0.972,
538,240,15.853,0.696,0.156
539,240,16.981,0.769,0.186
540,240,18.353,1.148,
541,240,19.041,1.259,
542,240,15.124,0.678,0.098
543,240,16.345,0.764,0.237
544,240,18.276,1.351,
545,240,19.429,1.205,
546,240,15.049,0.688,0.182
547,240,17.568,0.996,0.485
548,240,18.607,1.591,
549,240,18.291,0.793,
550,240,19.447,0.836,
551,240,18.988,1.406,
552,240,19.191,1.096,
553,240,16.392,0.732,0.229
554,240,19.029,1.403,
555,240,17.992,1.064,
556,240,19.285,1.184,
557,240,16.304,0.76,0.232
558,240,18.58,0.843,
559,240,16.417,0.764,0.247
561,240,17.524,0.877,0.284
562,240,16.684,0.851,0.412
563,240,18.848,0.694,
564,240,17.491,0.973,0.488
565,240,19.626,0.584,
566,240,17.864,1.054,
567,240,17.802,1.066,
568,240,17.56,0.979,
569,240,17.75,0.568,-0.158
570,240,18.209,1.152,
571,240,19.568,0.488,
572,240,19.913,0.901,
573,240,16.854,0.894,0.521
574,240,18.252,1.1,
575,240,17.871,1.083,0.594
576,240,19.276,0.626,
577,240,15.978,1.275,1.606
578,240,15.638,0.687,0.134
579,240,18.024,0.651,-0.1
580,240,18.472,0.685,
581,240,17.903,1.093,
582,240,16.948,0.652,0.07
583,240,19.506,1.069,
584,240,18.593,1.025,
585,240,17.965,0.898,0.551
586,240,18.302,0.912,
587,240,18.842,0.618,
588,240,13.396,1.391,1.602
589,240,13.397,0.343,-0.029
590,240,18.63,0.577,-0.165
591,240,17.966,0.943,
592,240,18.186,0.703,
593,240,17.9,0.741,0.028
594,240,18.488,1.335,
595,240,18.714,1.17,
596,240,17.677,0.588,-0.077
597,240,16.159,0.704,0.217
598,240,19.179,1.085,
599,240,18.689,1.199,
600,240,16.128,0.717,0.095
601,240,17.075,0.937,0.551
602,240,16.609,0.802,0.379
603,240,18.687,1.064,
604,240,17.038,0.622,-0.104
607,240,19.077,0.599,
608,240,18.469,1.166,
609,240,18.544,0.749,
610,240,18.813,1.186,
611,240,17.323,0.91,0.488
612,240,17.608,0.855,0.489
613,240,19.883,0.656,
614,240,17.714,0.995,0.652
615,240,18.298,1.154,
616,240,19.328,0.485,0.734
617,240,18.46,0.984,
618,240,18.027,1.102,
619,240,16.962,0.851,0.445
620,240,16.356,0.785,0.226
621,240,18.96,1.154,
622,240,18.422,1.596,
623,240,16.596,1.204,1.475
624,240,18.788,0.892,
625,240,18.487,1.332,
626,240,18.647,1.24,
627,240,16.54,0.735,0.146
628,240,16.434,1.335,1.458
629,240,18.041,1.119,
630,240,17.772,0.558,-0.101
631,240,17.101,1.016,0.573
632,240,18.939,0.514,
633,240,18.062,0.786,
634,240,17.329,0.949,0.716
635,240,17.914,1.066,
636,240,17.994,1.062,
638,240,17.784,1.013,
639,240,19.013,0.954,
640,240,19.352,0.586,
641,240,19.899,0.333,
642,240,16.607,0.75,0.151
644,240,16.554,0.929,0.552
645,240,19.165,0.515,
646,240,19.049,0.895,
647,240,19.198,0.496,
648,240,17.588,0.98,0.55
649,240,18.95,0.861,
650,240,18.24,1.469,
651,240,18.262,0.976,
652,240,18.375,0.677,
653,240,19.745,0.654,
654,240,19.645,1.03,
655,240,16.369,0.607,-0.009
656,240,16.995,0.857,0.522
657,240,16.856,0.672,0.053
658,240,17.478,1.518,
659,240,18.4,1.103,
660,240,19.633,0.778,
661,240,17.237,0.916,0.379
662,240,16.96,0.628,0.028
663,240,17.117,1.51,1.202
664,240,17.452,0.641,-0.013
665,240,16.749,0.844,0.258
666,240,17.436,0.89,0.599
667,240,19.563,0.566,
668,240,18.987,0.791,
669,240,17.507,0.716,0.142
670,240,17.809,0.68,0.061
671,240,17.943,1.201,
672,240,18.548,1.412,
673,240,18.85,0.7,
674,240,18.251,1.475,
675,240,18.787,0.403,-0.047
676,240,18.876,1.118,
677,240,16.959,0.849,0.802
678,240,17.887,1.041,
679,240,18.818,1.361,
680,240,17.751,0.544,-0.214
681,240,19.864,0.431,
682,240,18.959,1.127,
683,240,18.115,0.927,
684,240,18.979,1.16,
685,240,17.782,1.07,
686,240,18.092,0.777,0.214
687,240,17.249,0.793,0.22
688,240,19.2,0.69,
689,240,17.125,0.601,-0.111
690,240,18.683,0.719,-0.149
691,240,18.713,1.239,
692,240,18.814,1.352,
693,240,17.402,0.965,0.634
694,240,17.947,1.08,
695,240,16.545,0.818,0.308
696,240,17.414,0.962,
697,240,18.286,1.022,
698,240,17.923,1.374,
699,240,16.995,1.059,0.814
701,240,15.638,0.893,0.559
703,240,17.496,0.934,0.612
704,240,18.316,1.234,
705,240,17.965,0.644,-0.081
706,240,17.842,0.946,
707,240,19.305,1.267,
708,240,16.96,0.933,0.479
709,240,17.409,0.754,0.083
710,240,18.225,1.518,
711,240,16.991,0.877,0.423
712,240,16.735,0.839,0.464
713,240,18.414,1.212,
714,240,17.621,1.575,
715,240,19.402,0.936,
716,240,18.166,0.709,0.174
718,240,18.737,1.093,
719,240,17.843,1.3,
720,240,18.3,0.969,
721,240,17.051,0.986,0.575
722,240,18.753,1.258,
723,240,18.2,0.915,
724,240,16.952,0.788,0.284
725,240,18.401,1.203,
726,240,18.513,1.386,
727,240,19.239,0.851,
728,240,19.602,0.682,
729,240,18.546,1.099,
730,240,18.852,1.195,
731,240,18.675,0.487,-0.183
732,240,19.224,1.209,
733,240,18.815,0.836,
734,240,18.267,1.094,
735,240,18.987,1.14,
736,240,18.457,0.921,0.22
737,240,16.956,1.012,0.606
739,240,16.26,0.753,0.22
741,240,19.769,0.547,
742,240,17.139,0.724,0.099
743,240,15.931,0.886,0.47
744,240,19.423,0.441,
745,240,18.133,1.086,
746,240,19.63,0.188,
747,240,19.392,0.823,-0.333
748,240,19.023,0.459,
749,240,18.439,1.199,
750,240,18.095,1.159,
751,240,18.54,1.004,
752,240,19.408,0.621,
753,240,17.717,0.924,
754,240,18.927,0.828,
755,240,17.925,1.031,
756,240,17.329,0.891,
757,240,17.969,1.049,
758,240,19.144,0.513,
759,240,16.494,0.844,0.29
760,240,16.173,0.741,0.239
761,240,17.997,1.099,
762,240,16.814,0.868,0.433
763,240,18.203,1.154,
764,240,19.471,0.865,
765,240,19.254,1.14,
766,240,18.639,1.153,
767,240,18.758,1.227,
768,240,18.375,1.204,
769,240,19.149,0.284,
770,240,18.651,0.634,0.047
771,240,18.671,0.985,
772,240,18.16,0.798,0.151
773,240,16.825,0.834,0.405
774,240,17.887,1.01,
775,240,17.57,1.066,0.607
776,240,18.35,1.205,
777,240,19.408,0.588,
778,240,17.21,1.5,
779,240,17.113,0.725,0.08
780,240,15.854,0.617,0.063
781,240,18.349,0.857,
782,240,18.586,1.324,
783,240,19.564,1.11,
784,240,16.903,0.815,0.006
785,240,18.302,1.06,
786,240,16.547,0.685,-0.003
787,240,17.499,1.038,
788,240,19.239,1.304,
789,240,19.206,1.186,
790,240,19.768,0.468,
791,240,16.98,0.638,-0.009
792,240,17.4,0.525,-0.052
793,240,18.203,1.488,
794,240,16.069,0.753,0.234
795,240,16.649,0.803,0.163
796,240,16.59,0.679,0.103
797,240,17.42,0.936,0.586
798,240,18.582,1.52,
799,240,16.249,0.718,0.245
800,240,19.183,0.436,
801,240,18.347,0.745,-0.058
802,240,16.644,0.702,0.095
803,240,17.504,0.918,
804,240,16.543,0.811,0.26
805,240,17.265,0.916,0.414
806,240,18.472,0.67,-0.25
807,240,17.015,0.692,0.105
808,240,16.443,1.256,
809,240,18.596,1.409,
810,240,18.502,1.032,
811,240,17.558,0.765,0.25
812,240,19.09,0.652,
813,240,17.278,1.25,
814,240,19.37,1.189,
815,240,16.634,1.441,1.251
816,240,17.511,0.744,-0.032
817,240,18.528,0.589,
818,240,17.446,0.748,0.136
819,240,18.394,1.35,
820,240,18.881,1.523,
821,240,18.728,0.732,
822,240,16.733,0.841,0.378
823,240,19.321,0.329,-0.514
824,240,16.271,0.774,0.19
825,240,16.522,1.234,1.133
826,240,17.673,0.737,0.091
827,240,17.979,0.756,0.065
828,240,19.883,0.487,
829,240,18.512,1.064,
830,240,17.01,0.819,0.226
831,240,19.388,0.395,
832,240,18.887,1.217,
833,240,18.975,0.66,
834,240,18.265,1.278,
835,240,19.194,1.262,
836,240,16.048,0.837,0.38
837,240,17.38,0.685,-0.085
838,240,18.054,1.129,
839,240,18.895,0.95,
840,240,17.402,0.987,0.508
841,240,16.66,0.836,0.33
842,240,15.962,0.736,0.15
843,240,17.877,1.202,
844,240,17.517,0.802,0.257
845,240,17.021,0.924,0.394
846,240,15.924,0.733,0.086
847,240,16.275,0.781,0.243
848,240,17.673,1.013,
849,240,17.533,0.958,0.809
850,240,18.489,1.119,
851,240,16.007,0.631,-0.066
852,240,17.825,0.611,-0.19
853,240,18.264,0.679,0.077
854,240,16.496,0.715,0.194
855,240,16.291,1.022,
856,240,17.696,1.581,
857,240,18.256,1.058,
858,240,18.924,1.394,
859,240,18.54,1.343,
860,240,16.511,0.817,0.371
861,240,16.651,0.825,0.278
862,240,17.416,1.019,
863,240,17.811,0.781,0.162
864,240,17.671,0.93,
865,240,16.626,0.72,0.157
866,240,16.647,0.877,0.397
867,240,18.088,1.128,
868,240,18.097,0.621,-0.242
869,240,17.805,1.054,
870,240,17.264,1.536,
871,240,17.536,0.976,
872,240,16.997,0.888,0.477
873,240,19.922,0.432,
874,240,18.745,1.359,
875,240,19.228,1.395,
876,240,17.968,1.132,
877,240,15.7,0.826,0.212
878,240,19.385,1.503,
879,240,18.421,0.843,
880,240,18.553,1.606,
881,240,17.972,0.442,
882,240,19.548,0.644,
883,240,18.405,0.625,-0.083
884,240,17.832,1.427,
885,240,16.579,0.638,-0.082
886,240,17.087,0.85,
887,240,19.301,0.508,
888,240,17.301,0.98,0.526
889,240,18.511,1.144,
890,240,19.636,0.46,
891,240,17.748,0.518,-0.054
892,240,18.616,1.076,
893,240,16.682,0.741,0.384
894,240,19.31,0.695,
895,240,18.867,0.835,
896,240,16.338,1.496,1.094
897,240,15.974,0.808,0.324
898,240,17.131,1.289,
899,240,17.687,0.889,0.33
900,240,18.973,0.992,
901,240,16.808,0.823,0.273
902,240,17.154,0.961,
903,240,17.911,0.755,
904,240,16.015,0.778,
905,240,18.523,0.711,-0.118
906,240,17.005,0.789,0.251
1001,240,11.949,1.126,0.851
1002,240,14.871,0.724,0.192
1003,240,14.023,0.493,0.003
1004,240,16.335,0.76,0.292
1005,240,14.981,0.712,0.2
1006,240,14.914,0.958,0.623
1007,240,16.759,0.783,0.138
1008,240,16.506,0.752,0.321
1009,240,15.518,0.799,0.36
1010,240,14.95,0.707,0.173
1011,240,16.211,0.961,0.33
1012,240,15.292,0.66,0.13
1013,240,16.935,0.844,0.458
1014,240,15.511,0.656,0.088
1015,240,14.941,0.785,0.329
1016,240,16.059,0.821,0.343
1017,240,15.112,0.672,0.115
1018,240,16.08,0.823,-0.314
1019,240,16.188,0.816,0.23
1020,240,14.303,0.895,0.518
1021,240,15.82,0.689,0.137
1022,240,16.699,0.817,0.284
1023,240,16.743,0.802,0.355
1024,240,14.995,0.681,0.141
1025,240,15.394,0.66,0.117
1027,240,15.158,0.798,0.434
1028,240,16.01,0.706,0.154
1029,240,16.307,0.759,0.19
1030,240,15.308,0.711,0.126
1031,240,16.305,0.732,0.277
1032,240,14.543,0.623,0.091
1034,240,15.891,0.705,0.245
1035,240,16.261,0.898,0.499
1036,240,16.5,0.624,-0.017
1037,240,15.275,0.72,0.193
1038,240,15.36,0.719,0.221
1039,240,16.103,0.7,0.169
1040,240,15.3,0.701,0.179
1041,240,15.315,0.708,0.19
1042,240,15.141,0.965,0.62
1043,240,15.009,0.597,0.081
1044,240,16.395,0.762,0.208
1045,240,15.085,0.673,0.152
1046,240,16.64,0.879,0.185
1047,240,15.022,0.702,0.158
1048,240,14.952,0.741,0.231
1049,240,15.718,0.68,0.158
1050,240,13.905,0.517,-0.043
1052,240,14.987,0.704,0.132
1053,240,15.79,0.743,0.194
1054,240,15.107,0.696,0.139
1055,240,15.003,0.795,0.277
1056,240,16.474,0.786,0.323
1057,240,13.679,1.116,0.985
1058,240,16.864,0.675,0.045
1059,240,14.016,0.975,0.817
1060,240,15.253,0.659,0.102
1061,240,14.188,1.061,0.864
1062,240,14.908,0.729,0.257
1063,240,15.908,0.681,0.153
1064,240,16.376,0.831,0.392
1065,240,15.459,0.655,0.117
1066,240,15.068,0.869,0.448
1067,240,16.123,0.72,0.19
1068,240,16.022,0.705,0.165
1069,240,12.323,1.292,1.337
1070,240,14.911,0.734,0.205
1071,240,15.1,0.671,0.117
1074,240,15.765,0.686,0.154
1075,240,13.897,1.089,0.904
1076,240,15.037,0.698,0.149
1079,240,15.841,0.68,0.159
1080,240,15.528,0.679,0.202
1081,240,15.956,0.734,0.208
1082,240,16.825,0.806,0.446
1083,240,16.777,0.84,0.484
1084,240,16.196,0.787,0.314
1085,240,14.672,1.034,0.767
1086,240,15.837,0.844,0.418
1087,240,16.377,0.803,0.324
1088,240,15.079,0.899,0.487
1090,240,15.79,0.761,0.287
1091,240,14.97,0.694,0.161
1092,240,15.528,0.683,0.116
1093,240,14.663,0.687,0.145
1094,240,16.436,0.766,0.29
1095,240,16.093,0.722,0.183
1096,240,16.65,0.81,0.32
1097,240,15.029,0.94,0.602
1098,240,16.394,0.749,0.229
1099,240,14.974,0.724,0.211
1100,240,15.25,0.707,0.168
1101,240,15.132,0.672,0.13
1102,240,14.485,0.605,0.052
1103,240,15.199,0.674,0.111
1104,240,15.496,0.673,0.129
1105,240,12.388,1.172,1.111
1106,240,11.865,0.545,0.006
1107,240,15.993,1.416,1.301
1108,240,15.178,0.713,0.198
1109,240,16.301,0.757,0.234
1110,240,16.908,0.797,0.308
1111,240,15.23,0.68,0.141
1112,240,14.495,0.684,0.141
1113,240,16.002,0.759,0.28
1114,240,14.875,0.697,0.131
1115,240,15.791,0.695,0.153
1116,240,13.941,0.945,0.467
1117,240,17.394,0.967,
1118,240,17.065,0.997,0.606
1119,240,17.057,0.977,0.746
1120,240,17.126,0.871,0.441
1121,240,17.094,0.875,0.386
1122,240,17.516,0.921,0.723
1124,240,17.337,1.025,0.481
1128,240,17.021,0.869,0.485
1130,240,19.126,1.129,
1132,240,18.714,0.248,-0.024
1133,240,18.19,1.294,
1134,240,17.68,0.967,
1135,240,17.116,0.873,0.547
1136,240,17.739,1.061,
1137,240,17.496,0.933,
1138,240,17.335,0.896,0.242
1139,240,18.231,1.131,
1140,240,19.229,1.199,
1141,240,17.764,1.119,
