No,Ref,V,BV,UB
2166,240,16.171,0.716,0.194
2167,240,15.938,0.963,0.497
2168,240,16.542,0.79,0.289
2169,240,15.748,0.693,0.13
2170,240,15.527,0.677,0.104
2171,240,15.837,0.714,0.172
2172,240,16.435,0.77,0.256
2173,240,15.645,0.672,0.11
2174,240,15.723,0.721,0.163
2175,240,16.365,0.773,0.253
2176,240,16.678,0.801,0.333
2177,240,16.147,0.717,0.226
2178,240,15.073,0.707,0.165
2179,240,14.078,1.077,0.892
2180,240,16.158,0.732,0.175
2181,240,12.157,1.31,1.324
2182,240,16.692,0.774,0.293
2183,240,16.291,0.744,0.214
2184,240,15.905,0.701,0.113
2185,240,15.567,0.666,0.129
2186,240,15.904,0.802,0.309
2187,240,14.103,1.065,0.842
2188,240,15.363,0.729,0.151
2189,240,13.286,0.656,0.043
2190,240,16.032,0.537,-0.096
2191,240,15.491,0.744,0.221
2194,240,14.975,1.011,0.736
2195,240,15.117,0.975,0.684
2197,240,15.076,0.718,0.158
2198,240,15.317,0.599,-0.097
2199,240,14.721,0.692,0.094
2200,240,15.195,0.773,0.247
2201,240,17.559,0.93,
2202,240,17.226,0.936,0.504
2214,240,17.095,0.901,0.475
2216,240,17.228,0.93,0.651
2217,240,17.004,0.87,0.474
2219,240,17.576,1.018,
2220,240,17.482,1.069,
2222,240,17.05,0.862,0.4
2226,240,16.841,0.804,0.335
2227,240,17.576,0.537,-0.137
2228,240,17.105,0.554,-0.102
2307,240,17.753,1.091,
2309,240,17.794,1.004,
2312,240,18.215,0.606,0.038
2315,240,16.405,0.806,0.242
2316,240,17.4,1.114,
2318,240,19.193,1.229,
2319,240,16.453,0.633,0.037
2320,240,18.746,1.398,
2321,240,17.731,1.039,
2323,240,17.822,1.011,0.686
2328,240,19.024,1.027,
2334,240,19.1,1.478,
2338,240,15.448,0.682,0.114
2339,240,15.051,0.995,0.687
2340,240,17.082,0.889,0.393
2341,240,17.579,0.996,
2344,240,16.985,0.883,0.367
2346,240,19.369,0.989,
2348,240,18.586,1.079,
2349,240,18.862,1.358,
2353,240,19.197,1.06,
2354,240,17.079,0.881,0.358
2355,240,17.713,0.939,0.611
2356,240,18.719,1.251,
2358,240,18.675,1.117,
2359,240,18.097,1.075,
2364,240,19.59,0.799,
2365,240,17.482,0.81,0.323
2368,240,18.499,1.096,
