# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Sun Jun 11 18:07:45 CEST 2023
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 9.60000 0.3438595533 2.0332371270    0.344 -1.932  3.5103  4.900    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.89e-16      0.00 7.089e-01 2.758e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.601 14.745 13.314 11.807 10.571 9.134 7.735 7.107 6.845
0.0152 0.01508 9.60000 0.3500000238 2.0434175133    0.350 -1.914  3.5112  4.893    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.26e-16      0.00 7.091e-01 2.757e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.555 14.674 13.249 11.744 10.514 9.084 7.692 7.063 6.802
0.0152 0.01508 9.60000 0.4000000358 2.1185024810    0.400 -1.771  3.5224  4.853    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.26e-15      0.00 7.091e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.198 14.059 12.681 11.204 10.032 8.681 7.362 6.727 6.475
0.0152 0.01508 9.60000 0.4500000477 2.1822809714    0.450 -1.622  3.5345  4.803    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.78e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.825 13.455 12.107 10.658 9.540 8.268 7.019 6.375 6.132
0.0152 0.01508 9.60000 0.5000000000 2.2374541529    0.500 -1.467  3.5493  4.753    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.55e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.437 12.838 11.501 10.079 9.017 7.838 6.669 6.013 5.782
0.0152 0.01508 9.60000 0.5282154679 2.2647631851    0.528 -1.372  3.5602  4.725    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.19e-15      0.00 7.142e-01 2.707e-01 2.701e-03 7.287e-04 6.609e-03 -1.000 1.502e-02 8.199 12.459 11.116 9.707 8.680 7.574 6.460 5.796 5.574
0.0152 0.01508 9.60000 0.5500000119 2.2836582633    0.550 -1.301  3.5683  4.704    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.76e-15      0.00 7.185e-01 2.666e-01 2.663e-03 7.184e-04 6.516e-03 -1.000 1.482e-02 8.023 12.187 10.836 9.433 8.430 7.382 6.306 5.636 5.422
0.0152 0.01508 9.60000 0.6000000238 2.3211213258    0.600 -1.135  3.5917  4.670    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.49e-15      0.00 7.200e-01 2.653e-01 2.651e-03 7.153e-04 6.488e-03 -1.000 1.476e-02 7.609 11.523 10.142 8.768 7.824 6.933 5.955 5.267 5.084
0.0152 0.01508 9.60000 0.6499999762 2.3520353107    0.650 -0.969  3.6199  4.651    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.91e-15      0.00 7.213e-01 2.640e-01 2.640e-03 7.123e-04 6.462e-03 -1.000 1.471e-02 7.192 10.823 9.402 8.102 7.224 6.490 5.603 4.911 4.772
0.0152 0.01508 9.60000 0.7000000477 2.3779267258    0.700 -0.808  3.6490  4.639    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.12e-14      0.00 7.225e-01 2.629e-01 2.630e-03 7.097e-04 6.438e-03 -1.000 1.461e-02 6.791 9.965 8.620 7.445 6.655 6.071 5.277 4.621 4.521
0.0152 0.01508 9.60000 0.7295722961 2.3913341107    0.730 -0.716  3.6663  4.634    1  0.000  0.540     0.00     0.00     0.00     0.00     0.00 -1 -1.36e-14      0.00 7.233e-01 2.621e-01 2.602e-03 7.073e-04 6.423e-03 -1.000 1.461e-02 6.560 9.340 8.159 7.071 6.348 5.829 5.097 4.492 4.405
0.0152 0.01508 9.60000 0.7500000000 2.3998889087    0.750 -0.654  3.6778  4.631    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.55e-14      0.00 7.239e-01 2.615e-01 2.584e-03 7.058e-04 6.413e-03 -1.000 1.459e-02 6.406 8.916 7.861 6.830 6.154 5.668 4.978 4.412 4.331
0.0152 0.01508 9.60000 0.7936576009 2.4164859603    0.793 -0.531  3.6966  4.607    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.06e-14      0.00 7.256e-01 2.599e-01 2.570e-03 7.021e-04 6.380e-03 -1.000 1.452e-02 6.098 8.212 7.351 6.405 5.801 5.357 4.731 4.223 4.151
0.0152 0.01508 9.60000 0.8000000119 2.4187244405    0.800 -0.514  3.6993  4.604    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.15e-14      0.00 7.258e-01 2.597e-01 2.568e-03 7.015e-04 6.375e-03 -1.000 1.451e-02 6.054 8.112 7.280 6.346 5.751 5.313 4.697 4.196 4.125
0.0152 0.01508 9.60000 0.8087124825 2.4217336730    0.808 -0.490  3.7029  4.599    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.27e-14      0.00 7.262e-01 2.593e-01 2.565e-03 7.007e-04 6.367e-03 -1.000 1.450e-02 5.994 7.982 7.186 6.267 5.685 5.254 4.649 4.159 4.090
0.0152 0.01508 9.60000 0.8500000238 2.4350346840    0.850 -0.378  3.7193  4.574    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.94e-14      0.00 7.280e-01 2.576e-01 2.550e-03 6.966e-04 6.330e-03 -1.000 1.439e-02 5.714 7.390 6.761 5.909 5.381 4.980 4.429 3.985 3.923
0.0152 0.01508 9.60000 0.8709561229 2.4412336617    0.870 -0.322  3.7270  4.560    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.36e-14      0.00 7.292e-01 2.564e-01 2.540e-03 6.940e-04 6.307e-03 -1.000 1.434e-02 5.574 7.117 6.563 5.740 5.234 4.845 4.318 3.895 3.835
0.0152 0.01508 9.60000 0.9000000358 2.4492786175    0.899 -0.245  3.7374  4.539    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.04e-14      0.00 7.309e-01 2.549e-01 2.526e-03 6.903e-04 6.274e-03 -1.000 1.423e-02 5.384 6.752 6.294 5.512 5.035 4.664 4.168 3.773 3.717
0.0152 0.01508 9.60000 0.9107087255 2.4520963676    0.910 -0.217  3.7409  4.530    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.33e-14      0.00 7.317e-01 2.541e-01 2.520e-03 6.887e-04 6.259e-03 -1.000 1.420e-02 5.314 6.623 6.198 5.430 4.963 4.598 4.113 3.726 3.672
0.0152 0.01508 9.60000 0.9337278605 2.4579024971    0.933 -0.158  3.7483  4.511    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.01e-14      0.00 7.334e-01 2.525e-01 2.506e-03 6.849e-04 6.225e-03 -1.000 1.414e-02 5.164 6.340 5.996 5.258 4.814 4.461 3.997 3.627 3.577
0.0152 0.01508 9.60000 0.9500000477 2.4618122009    0.949 -0.116  3.7534  4.497    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.57e-14      0.00 7.346e-01 2.513e-01 2.496e-03 6.822e-04 6.201e-03 -1.000 1.409e-02 5.059 6.153 5.857 5.141 4.710 4.365 3.915 3.556 3.509
0.0152 0.01508 9.60000 0.9549932480 2.4629812332    0.954 -0.103  3.7548  4.492    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.75e-14      0.00 7.351e-01 2.509e-01 2.492e-03 6.811e-04 6.191e-03 -1.000 1.407e-02 5.027 6.099 5.816 5.105 4.679 4.335 3.889 3.534 3.487
0.0152 0.01508 9.60000 0.9746494293 2.4674496947    0.974 -0.052  3.7604  4.472    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -6.55e-14      0.00 7.370e-01 2.490e-01 2.475e-03 6.767e-04 6.152e-03 -1.000 1.400e-02 4.900 5.886 5.653 4.965 4.553 4.218 3.788 3.445 3.400
0.0152 0.01508 9.60000 0.9929583073 2.4714293863    0.993 -0.005  3.7654  4.453    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -7.38e-14      0.00 7.390e-01 2.471e-01 2.460e-03 6.725e-04 6.114e-03 -1.000 1.391e-02 4.783 5.698 5.504 4.838 4.439 4.112 3.695 3.362 3.320
0.0152 0.01508 9.60000 1.0000000000 2.4729154477    1.000  0.013  3.7672  4.446    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -7.74e-14      0.00 7.397e-01 2.464e-01 2.453e-03 6.708e-04 6.099e-03 -1.000 1.387e-02 4.738 5.628 5.447 4.789 4.395 4.071 3.659 3.331 3.289
0.0152 0.01508 9.60000 1.0025134087 2.4734400608    1.002  0.019  3.7679  4.443    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -7.84e-14      0.00 7.401e-01 2.460e-01 2.450e-03 6.700e-04 6.091e-03 -1.000 1.386e-02 4.722 5.603 5.427 4.772 4.379 4.056 3.646 3.319 3.278
0.0152 0.01508 9.60000 1.0215390921 2.4773151121    1.021  0.068  3.7725  4.421    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -8.66e-14      0.00 7.429e-01 2.434e-01 2.427e-03 6.638e-04 6.036e-03 -1.000 1.373e-02 4.600 5.419 5.276 4.641 4.261 3.945 3.547 3.230 3.192
0.0152 0.01508 9.60000 1.0391809940 2.4807629011    1.038  0.113  3.7766  4.400    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -9.51e-14      0.00 7.457e-01 2.407e-01 2.404e-03 6.576e-04 5.981e-03 -1.000 1.361e-02 4.487 5.253 5.138 4.522 4.151 3.843 3.455 3.147 3.111
0.0152 0.01508 9.60000 1.0499999523 2.4828114860    1.049  0.141  3.7790  4.386    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.01e-13      0.00 7.475e-01 2.390e-01 2.390e-03 6.536e-04 5.945e-03 -1.000 1.356e-02 4.419 5.154 5.055 4.449 4.085 3.780 3.399 3.096 3.061
0.0152 0.01508 9.60000 1.0660922527 2.4857703095    1.065  0.182  3.7823  4.365    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -1.1e-13      0.00 7.511e-01 2.355e-01 2.360e-03 6.456e-04 5.873e-03 -1.000 1.336e-02 4.316 5.015 4.933 4.342 3.985 3.686 3.313 3.017 2.983
0.0152 0.01508 9.60000 1.0824722052 2.4886783604    1.081  0.223  3.7854  4.342    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1  -1.2e-13      0.00 7.551e-01 2.317e-01 2.327e-03 6.368e-04 5.795e-03 -1.000 1.319e-02 4.212 4.878 4.812 4.234 3.885 3.590 3.224 2.935 2.902
0.0152 0.01508 9.60000 1.0975872278 2.4912734763    1.096  0.261  3.7880  4.321    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1  -1.3e-13      0.00 7.590e-01 2.280e-01 2.296e-03 6.283e-04 5.718e-03 -1.000 1.300e-02 4.117 4.756 4.702 4.136 3.793 3.502 3.143 2.859 2.827
0.0152 0.01508 9.60000 1.1000000238 2.4916801480    1.099  0.267  3.7884  4.317    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.32e-13      0.00 7.597e-01 2.274e-01 2.290e-03 6.269e-04 5.706e-03 -1.000 1.297e-02 4.102 4.737 4.684 4.120 3.778 3.488 3.130 2.847 2.815
0.0152 0.01508 9.60000 1.1056863070 2.4926304906    1.105  0.281  3.7893  4.309    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.36e-13      0.00 7.605e-01 2.265e-01 2.285e-03 6.254e-04 5.693e-03 -1.000 1.294e-02 4.067 4.693 4.644 4.084 3.744 3.456 3.099 2.818 2.787
0.0152 0.01508 9.60000 1.1204679012 2.4950491079    1.119  0.317  3.7913  4.287    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.46e-13      0.00 7.626e-01 2.245e-01 2.272e-03 6.223e-04 5.664e-03 -1.000 1.291e-02 3.978 4.585 4.544 3.993 3.657 3.372 3.021 2.744 2.713
0.0152 0.01508 9.60000 1.1342368126 2.4972369328    1.133  0.349  3.7928  4.267    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.56e-13      0.00 7.643e-01 2.228e-01 2.262e-03 6.204e-04 5.643e-03 -1.000 1.286e-02 3.898 4.492 4.456 3.911 3.579 3.297 2.949 2.675 2.645
0.0152 0.01508 9.60000 1.1464965343 2.4991341796    1.145  0.378  3.7940  4.247    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -1.66e-13      0.00 7.656e-01 2.215e-01 2.255e-03 6.190e-04 5.629e-03 -1.000 1.281e-02 3.826 4.409 4.377 3.838 3.509 3.228 2.883 2.611 2.582
0.0152 0.01508 9.60000 1.1499999762 2.4996678137    1.149  0.386  3.7943  4.241    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1  -1.7e-13      0.00 7.660e-01 2.212e-01 2.254e-03 6.187e-04 5.625e-03 -1.000 1.280e-02 3.804 4.385 4.353 3.816 3.488 3.208 2.863 2.592 2.563
0.0152 0.01508 9.60000 1.1525027752 2.5000467490    1.151  0.392  3.7944  4.237    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -1.71e-13      0.00 7.659e-01 2.213e-01 2.255e-03 6.191e-04 5.629e-03 -1.000 1.280e-02 3.791 4.370 4.339 3.802 3.474 3.194 2.850 2.579 2.550
0.0152 0.01508 9.60000 1.1750235558 2.5033731607    1.174  0.438  3.7943  4.199    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -1.89e-13      0.00 7.644e-01 2.227e-01 2.276e-03 6.242e-04 5.685e-03 -1.000 1.296e-02 3.676 4.257 4.223 3.686 3.359 3.079 2.734 2.464 2.434
0.0152 0.01508 9.60000 1.1894849539 2.5054329630    1.188  0.464  3.7934  4.175    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1    -2e-13      0.00 7.638e-01 2.232e-01 2.287e-03 6.261e-04 5.716e-03 -1.000 1.299e-02 3.610 4.200 4.161 3.621 3.292 3.011 2.664 2.392 2.362
0.0152 0.01508 9.60000 1.1938036680 2.5060369794    1.193  0.481  3.7944  4.163    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.08e-13      0.00 7.637e-01 2.233e-01 2.290e-03 6.266e-04 5.724e-03 -1.000 1.301e-02 3.568 4.149 4.114 3.578 3.251 2.972 2.627 2.357 2.327
0.0152 0.01508 9.60000 1.1971199512 2.5064973952    1.196  0.498  3.7958  4.153    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.17e-13      0.00 7.638e-01 2.232e-01 2.291e-03 6.265e-04 5.727e-03 -1.000 1.301e-02 3.525 4.094 4.063 3.534 3.210 2.933 2.592 2.325 2.295
0.0152 0.01508 9.60000 1.1992632151 2.5067933977    1.198  0.513  3.7974  4.145    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.26e-13      0.00 7.639e-01 2.231e-01 2.291e-03 6.263e-04 5.727e-03 -1.000 1.301e-02 3.487 4.042 4.017 3.494 3.173 2.899 2.561 2.298 2.269
0.0152 0.01508 9.60000 1.2000000477 2.5068948796    1.199  0.520  3.7981  4.141    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1  -2.3e-13      0.00 7.640e-01 2.230e-01 2.290e-03 6.261e-04 5.727e-03 -1.000 1.301e-02 3.470 4.019 3.996 3.476 3.158 2.884 2.549 2.286 2.258
0.0152 0.01508 9.60000 1.2027661800 2.5072745755    1.202  0.530  3.7986  4.134    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.35e-13      0.00 7.639e-01 2.231e-01 2.291e-03 6.262e-04 5.729e-03 -1.000 1.301e-02 3.445 3.990 3.968 3.451 3.133 2.861 2.526 2.265 2.237
0.0152 0.01508 9.60000 1.2070022821 2.5078521707    1.206  0.555  3.8004  4.117    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -2.52e-13      0.00 7.637e-01 2.233e-01 2.293e-03 6.266e-04 5.734e-03 -1.000 1.302e-02 3.382 3.912 3.894 3.385 3.072 2.802 2.472 2.214 2.186
0.0152 0.01508 9.60000 1.2330895662 2.5113088269    1.232  0.631  3.7985  4.044    2  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -3.06e-13      0.00 7.622e-01 2.247e-01 2.306e-03 6.294e-04 5.772e-03 -1.000 1.310e-02 3.192 3.740 3.712 3.197 2.880 2.608 2.273 2.012 1.983
0.0152 0.01508 9.60000 1.2499898672 2.5134598259    1.249  0.677  3.7954  3.991    2  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -3.46e-13      0.00 7.612e-01 2.257e-01 2.314e-03 6.312e-04 5.796e-03 -1.000 1.314e-02 3.078 3.655 3.613 3.085 2.762 2.485 2.143 1.876 1.846
0.0152 0.01508 9.60000 1.2500000000 2.5134610955    1.249  0.677  3.7954  3.991    2  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -3.46e-13      0.00 7.612e-01 2.257e-01 2.314e-03 6.312e-04 5.796e-03 -1.000 1.314e-02 3.078 3.655 3.613 3.085 2.762 2.485 2.142 1.876 1.846
0.0152 0.01508 9.60000 1.2681417465 2.5156968388    1.267  0.720  3.7878  3.924    2  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -3.92e-13      0.00 7.592e-01 2.276e-01 2.329e-03 6.353e-04 5.831e-03 -1.000 1.324e-02 2.970 3.616 3.543 2.984 2.646 2.357 1.996 1.715 1.682
0.0152 0.01508 9.60000 1.2794499397 2.5170536024    1.279  0.739  3.7783  3.871    2  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -4.24e-13      0.00 7.532e-01 2.333e-01 2.372e-03 6.468e-04 5.934e-03 -1.000 1.349e-02 2.922 3.664 3.548 2.948 2.589 2.285 1.900 1.599 1.562
0.0152 0.01508 9.60000 1.2890642881 2.5181856318    1.288  0.728  3.7615  3.818    2  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -4.28e-13      0.00 7.389e-01 2.471e-01 2.477e-03 6.747e-04 6.184e-03 -1.000 1.403e-02 2.951 3.890 3.679 3.008 2.610 2.279 1.848 1.510 1.466
0.0152 0.01508 9.60000 1.2954177856 2.5189231213    1.295  0.693  3.7425  3.779    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -4.08e-13      0.00 7.258e-01 2.596e-01 2.578e-03 7.016e-04 6.424e-03 -1.000 1.459e-02 3.037 4.236 3.889 3.142 2.697 2.335 1.851 1.466 1.414
0.0152 0.01508 9.60000 1.2984038591 2.5192668673    1.298  0.672  3.7312  3.756    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -3.96e-13      0.00 7.209e-01 2.643e-01 2.616e-03 7.117e-04 6.514e-03 -1.000 1.479e-02 3.089 4.452 4.019 3.229 2.757 2.377 1.858 1.443 1.388
0.0152 0.01508 9.60000 1.2999999523 2.5194498592    1.299  0.661  3.7249  3.742    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1  -3.9e-13      0.00 7.187e-01 2.664e-01 2.632e-03 7.163e-04 6.555e-03 -1.000 1.488e-02 3.117 4.578 4.094 3.279 2.792 2.401 1.862 1.430 1.372
0.0152 0.01508 9.60000 1.3008958101 2.5195523430    1.300  0.656  3.7217  3.735    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -3.87e-13      0.00 7.176e-01 2.675e-01 2.641e-03 7.185e-04 6.575e-03 -1.000 1.493e-02 3.131 4.642 4.131 3.304 2.809 2.412 1.863 1.423 1.363
0.0152 0.01508 9.60000 1.3069323301 2.5202386946    1.306  0.684  3.7069  3.650    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -4.43e-13      0.00 7.127e-01 2.722e-01 2.662e-03 7.259e-04 6.639e-03 -1.000 1.507e-02 3.060 4.815 4.178 3.294 2.760 2.338 1.739 1.256 1.192
0.0152 0.01508 9.60000 1.3074898720 2.5203017195    1.307  0.690  3.7059  3.640    2  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -4.53e-13      0.00 7.123e-01 2.727e-01 2.663e-03 7.265e-04 6.643e-03 -1.000 1.509e-02 3.046 4.817 4.172 3.284 2.748 2.324 1.721 1.236 1.171
0.0152 0.01508 9.60000 1.3104054928 2.5206302988    1.310  0.733  3.7026  3.585    3  0.000  0.519     0.00     0.00     0.00     0.00     0.00 -1 -5.28e-13      0.00 7.093e-01 2.756e-01 2.595e-03 7.815e-04 6.660e-03 -1.000 1.512e-02 2.937 4.759 4.090 3.189 2.646 2.215 1.601 1.107 1.040
0.0152 0.01508 9.60000 1.3132153749 2.5209453746    1.312  0.781  3.7001  3.527    3  0.000  0.487     0.00     0.00     0.00     0.00     0.00 -1 -6.25e-13      0.00 7.058e-01 2.790e-01 2.441e-03 9.473e-04 6.674e-03 -1.000 1.514e-02 2.817 4.676 3.990 3.079 2.530 2.094 1.472 0.970 0.902
