logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag
9.6,3.655,3.613,3.085,,,,9.65,3.776,3.69,3.115,,,,9.7,4.045,3.983,3.425
9.6,3.655,3.613,3.085,,,,9.65,3.793,3.667,3.06,,,,9.7,4.023,3.957,3.395
9.6,3.616,3.543,2.984,,,,9.65,3.953,3.747,3.079,,,,9.7,3.997,3.926,3.36
9.6,3.664,3.548,2.948,,,,9.65,4.032,3.796,3.109,,,,9.7,3.966,3.886,3.314
9.6,3.89,3.679,3.008,,,,9.65,4.163,3.877,3.159,,,,9.7,3.936,3.846,3.265
9.6,4.236,3.889,3.142,,,,9.65,4.368,4,3.243,,,,9.7,3.91,3.805,3.212
9.6,4.452,4.019,3.229,,,,9.65,4.545,4.11,3.318,,,,9.7,3.921,3.794,3.184
9.6,4.578,4.094,3.279,,,,9.65,4.675,4.186,3.369,,,,9.7,3.945,3.796,3.168
9.6,4.642,4.131,3.304,,,,9.65,4.79,4.243,3.4,,,,9.7,4.134,3.896,3.208
9.6,4.815,4.178,3.294,,,,9.65,4.889,4.276,3.404,,,,9.7,4.357,4.027,3.289
9.6,4.817,4.172,3.284,,,,9.65,4.909,4.255,3.364,,,,9.7,4.541,4.138,3.363
9.6,4.759,4.09,3.189,,,,9.65,4.853,4.173,3.268,,,,9.7,4.702,4.233,3.426
9.6,4.676,3.99,3.079,,,,9.65,4.769,4.072,3.158,,,,9.7,4.839,4.308,3.472
9.6,4.576,3.871,2.951,,,,9.65,4.675,3.963,3.04,,,,9.7,4.951,4.354,3.489
9.6,4.48,3.758,2.829,,,,9.65,4.582,3.855,2.924,,,,9.7,4.991,4.342,3.455
9.6,4.381,3.643,2.705,,,,9.65,4.487,3.744,2.806,,,,9.7,4.991,4.328,3.433
9.6,4.286,3.532,2.585,,,,9.65,4.39,3.632,2.685,,,,9.7,4.962,4.283,3.38
9.6,4.188,3.417,2.46,,,,9.65,4.295,3.522,2.566,,,,9.7,4.902,4.205,3.293
