logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag,,,,logAge,Umag,Bmag,Vmag
9.6,4.737,4.684,4.12,,,,9.63,4.857,4.789,4.21,,,,9.66,4.959,4.876,4.284,,,,9.69,5.059,4.96,4.356
9.6,4.693,4.644,4.084,,,,9.63,4.744,4.686,4.117,,,,9.66,4.843,4.771,4.19,,,,9.69,5.031,4.936,4.334
9.6,4.585,4.544,3.993,,,,9.63,4.7,4.646,4.081,,,,9.66,4.739,4.676,4.103,,,,9.69,4.942,4.856,4.262
9.6,4.492,4.456,3.911,,,,9.63,4.673,4.621,4.058,,,,9.66,4.667,4.609,4.041,,,,9.69,4.834,4.758,4.173
9.6,4.409,4.377,3.838,,,,9.63,4.577,4.531,3.975,,,,9.66,4.665,4.607,4.039,,,,9.69,4.738,4.669,4.091
9.6,4.385,4.353,3.816,,,,9.63,4.494,4.452,3.901,,,,9.66,4.581,4.527,3.965,,,,9.69,4.653,4.588,4.016
9.6,4.37,4.339,3.802,,,,9.63,4.349,4.313,3.772,,,,9.66,4.433,4.387,3.835,,,,9.69,4.63,4.567,3.996
9.6,4.257,4.223,3.686,,,,9.63,4.337,4.301,3.761,,,,9.66,4.306,4.265,3.72,,,,9.69,4.519,4.462,3.898
9.6,4.2,4.161,3.621,,,,9.63,4.312,4.276,3.736,,,,9.66,4.292,4.251,3.707,,,,9.69,4.388,4.337,3.781
9.6,4.149,4.114,3.578,,,,9.63,4.245,4.205,3.663,,,,9.66,4.282,4.241,3.698,,,,9.69,4.374,4.323,3.767
9.6,4.094,4.063,3.534,,,,9.63,4.186,4.147,3.607,,,,9.66,4.224,4.181,3.637,,,,9.69,4.28,4.231,3.679
9.6,4.042,4.017,3.494,,,,9.63,4.126,4.089,3.553,,,,9.66,4.158,4.115,3.571,,,,9.69,4.221,4.172,3.622
9.6,4.019,3.996,3.476,,,,9.63,4.073,4.038,3.506,,,,9.66,4.103,4.059,3.518,,,,9.69,4.19,4.14,3.59
9.6,3.99,3.968,3.451,,,,9.63,4.02,3.989,3.461,,,,9.66,4.052,4.01,3.47,,,,9.69,4.133,4.081,3.53
9.6,3.912,3.894,3.385,,,,9.63,3.989,3.96,3.436,,,,9.66,4.025,3.983,3.446,,,,9.69,4.084,4.031,3.479
9.6,3.74,3.712,3.197,,,,9.63,3.95,3.919,3.394,,,,9.66,3.99,3.946,3.407,,,,9.69,4.061,4.007,3.456
9.6,3.655,3.613,3.085,,,,9.63,3.928,3.895,3.368,,,,9.66,3.965,3.918,3.376,,,,9.69,4.031,3.974,3.42
9.6,3.655,3.613,3.085,,,,9.63,3.902,3.866,3.338,,,,9.66,3.932,3.881,3.337,,,,9.69,4.008,3.947,3.39
9.6,3.616,3.543,2.984,,,,9.63,3.796,3.747,3.208,,,,9.66,3.897,3.843,3.296,,,,9.69,3.981,3.915,3.354
9.6,3.664,3.548,2.948,,,,9.63,3.721,3.653,3.096,,,,9.66,3.872,3.814,3.263,,,,9.69,3.945,3.872,3.306
9.6,3.89,3.679,3.008,,,,9.63,3.703,3.608,3.027,,,,9.66,3.813,3.731,3.16,,,,9.69,3.91,3.828,3.254
9.6,4.236,3.889,3.142,,,,9.63,3.781,3.638,3.017,,,,9.66,3.814,3.695,3.093,,,,9.69,3.881,3.787,3.203
9.6,4.452,4.019,3.229,,,,9.63,4.037,3.787,3.092,,,,9.66,3.951,3.757,3.097,,,,9.69,3.878,3.78,3.193
9.6,4.578,4.094,3.279,,,,9.63,4.278,3.932,3.185,,,,9.66,4.258,3.942,3.21,,,,9.69,3.946,3.786,3.15
9.6,4.642,4.131,3.304,,,,9.63,4.454,4.039,3.258,,,,9.66,4.504,4.091,3.312,,,,9.69,4.165,3.908,3.208
9.6,4.815,4.178,3.294,,,,9.63,4.593,4.121,3.312,,,,9.66,4.669,4.192,3.381,,,,9.69,4.394,4.042,3.294
9.6,4.817,4.172,3.284,,,,9.63,4.682,4.17,3.341,,,,9.66,4.685,4.201,3.386,,,,9.69,4.572,4.151,3.367
9.6,4.759,4.09,3.189,,,,9.63,4.766,4.208,3.359,,,,9.66,4.801,4.261,3.42,,,,9.69,4.72,4.237,3.423
9.6,4.676,3.99,3.079,,,,9.63,4.845,4.233,3.36,,,,9.66,4.911,4.298,3.426,,,,9.69,4.84,4.3,3.46
9.6,4.576,3.871,2.951,,,,9.63,4.875,4.224,3.334,,,,9.66,4.926,4.27,3.379,,,,9.69,4.941,4.341,3.475
9.6,4.48,3.758,2.829,,,,9.63,4.817,4.141,3.238,,,,9.66,4.871,4.189,3.283,,,,9.69,4.974,4.327,3.439
9.6,4.381,3.643,2.705,,,,9.63,4.734,4.042,3.129,,,,9.66,4.787,4.087,3.172,,,,9.69,4.975,4.314,3.42
9.6,4.286,3.532,2.585,,,,9.63,4.642,3.934,3.013,,,,9.66,4.691,3.977,3.054,,,,9.69,4.945,4.269,3.367
9.6,4.188,3.417,2.46,,,,9.63,4.551,3.828,2.899,,,,9.66,4.598,3.868,2.937,,,,9.69,4.886,4.191,3.28
9.6,4.101,3.313,2.347,,,,9.63,4.457,3.719,2.782,,,,9.66,4.502,3.757,2.818,,,,9.69,4.807,4.097,3.177
9.6,4.016,3.209,2.233,,,,9.63,4.362,3.608,2.662,,,,9.66,4.404,3.644,2.696,,,,9.69,4.732,4.01,3.084
9.6,3.937,3.111,2.125,,,,9.63,4.269,3.5,2.545,,,,9.66,4.308,3.533,2.577,,,,9.69,4.641,3.904,2.97
9.6,3.862,3.016,2.02,,,,9.63,4.184,3.399,2.436,,,,9.66,4.222,3.431,2.466,,,,9.69,4.564,3.816,2.876
9.6,3.79,2.923,1.918,,,,9.63,4.143,3.35,2.383,,,,9.66,4.136,3.327,2.352,,,,9.69,4.47,3.707,2.759
9.6,3.722,2.836,1.821,,,,9.63,4.09,3.286,2.313,,,,9.66,4.049,3.221,2.236,,,,9.69,4.395,3.621,2.666
9.6,3.657,2.749,1.724,,,,9.63,4.006,3.182,2.199,,,,9.66,3.971,3.124,2.128,,,,9.69,4.301,3.512,2.548
9.6,3.594,2.663,1.628,,,,9.63,3.926,3.082,2.087,,,,9.66,3.893,3.025,2.02,,,,9.69,4.218,3.413,2.44
9.6,3.535,2.583,1.538,,,,9.63,3.849,2.984,1.979,,,,9.66,3.822,2.933,1.918,,,,9.69,4.133,3.31,2.328
9.6,3.478,2.503,1.448,,,,9.63,3.776,2.89,1.875,,,,9.66,3.753,2.841,1.816,,,,9.69,4.097,3.266,2.28
9.6,3.43,2.435,1.371,,,,9.63,3.707,2.797,1.772,,,,9.66,3.684,2.75,1.714,,,,9.69,4.084,3.25,2.262
9.6,3.383,2.368,1.295,,,,9.63,3.638,2.705,1.669,,,,9.66,3.62,2.662,1.616,,,,9.69,4.005,3.15,2.152
9.6,3.354,2.328,1.249,,,,9.63,3.574,2.617,1.571,,,,9.66,3.557,2.575,1.517,,,,9.69,3.924,3.05,2.041
9.6,3.371,2.358,1.285,,,,9.63,3.511,2.53,1.473,,,,9.66,3.499,2.494,1.425,,,,9.69,3.853,2.956,1.938
9.6,3.407,2.418,1.356,,,,9.63,3.456,2.452,1.384,,,,9.66,3.447,2.418,1.339,,,,9.69,3.781,2.862,1.833
9.6,3.409,2.422,1.361,,,,9.63,3.403,2.377,1.298,,,,9.66,3.393,2.342,1.253,,,,9.69,3.711,2.768,1.728
9.6,3.402,2.411,1.348,,,,9.63,3.37,2.33,1.246,,,,9.66,3.386,2.332,1.242,,,,9.69,3.645,2.678,1.627
9.6,3.345,2.327,1.252,,,,9.63,3.383,2.353,1.274,,,,9.66,3.399,2.355,1.269,,,,9.69,3.58,2.588,1.526
9.6,3.287,2.241,1.153,,,,9.63,3.427,2.425,1.358,,,,9.66,3.446,2.433,1.361,,,,9.69,3.52,2.502,1.429
9.6,3.237,2.159,1.058,,,,9.63,3.429,2.429,1.363,,,,9.66,3.448,2.437,1.366,,,,9.69,3.463,2.421,1.336
9.6,3.204,2.085,0.965,,,,9.63,3.421,2.418,1.349,,,,9.66,3.44,2.425,1.352,,,,9.69,3.408,2.342,1.247
9.6,3.172,2.011,0.873,,,,9.63,3.363,2.333,1.252,,,,9.66,3.383,2.342,1.256,,,,9.69,3.401,2.333,1.237
9.6,3.143,1.939,0.783,,,,9.63,3.305,2.246,1.153,,,,9.66,3.326,2.256,1.159,,,,9.69,3.416,2.36,1.269
9.6,3.116,1.868,0.694,,,,9.63,3.261,2.167,1.058,,,,9.66,3.287,2.178,1.064,,,,9.69,3.465,2.441,1.364
9.6,3.092,1.799,0.605,,,,9.63,3.229,2.093,0.966,,,,9.66,3.255,2.105,0.973,,,,9.69,3.468,2.446,1.37
9.6,3.071,1.732,0.52,,,,9.63,3.198,2.019,0.874,,,,9.66,3.224,2.031,0.88,,,,9.69,3.459,2.433,1.355
9.6,3.051,1.667,0.435,,,,9.63,3.169,1.947,0.784,,,,9.66,3.195,1.958,0.789,,,,9.69,3.403,2.35,1.26
9.6,3.035,1.604,0.353,,,,9.63,3.143,1.877,0.695,,,,9.66,3.171,1.89,0.702,,,,9.69,3.348,2.265,1.162
9.6,3.015,1.542,0.27,,,,9.63,3.119,1.808,0.607,,,,9.66,3.148,1.821,0.614,,,,9.69,3.313,2.189,1.068
9.6,2.974,1.482,0.187,,,,9.63,3.098,1.742,0.521,,,,9.66,3.127,1.754,0.528,,,,9.69,3.281,2.115,0.976
9.6,2.93,1.42,0.102,,,,9.63,3.079,1.676,0.437,,,,9.66,3.108,1.689,0.443,,,,9.69,3.25,2.041,0.883
9.6,2.886,1.361,0.022,,,,9.63,3.064,1.614,0.356,,,,9.66,3.094,1.628,0.362,,,,9.69,3.222,1.969,0.793
9.6,2.839,1.3,-0.059,,,,9.63,3.035,1.552,0.272,,,,9.66,3.057,1.565,0.277,,,,9.69,3.198,1.901,0.706
9.6,2.791,1.239,-0.14,,,,9.63,2.994,1.492,0.189,,,,9.66,3.014,1.504,0.192,,,,9.69,3.176,1.832,0.618
9.6,2.742,1.18,-0.217,,,,9.63,2.948,1.43,0.104,,,,9.66,2.969,1.444,0.112,,,,9.69,3.155,1.765,0.532
9.6,2.691,1.12,-0.295,,,,9.63,2.903,1.37,0.024,,,,9.66,2.921,1.382,0.029,,,,9.69,3.138,1.702,0.449
9.6,2.643,1.062,-0.37,,,,9.63,2.856,1.31,-0.057,,,,9.66,2.874,1.322,-0.052,,,,9.69,3.121,1.64,0.367
9.6,2.594,1.005,-0.442,,,,9.63,2.807,1.249,-0.137,,,,9.66,2.824,1.262,-0.13,,,,9.69,3.077,1.577,0.281
9.6,2.59,0.957,-0.508,,,,9.63,2.757,1.19,-0.214,,,,9.66,2.774,1.202,-0.208,,,,9.69,3.033,1.516,0.197
9.6,2.593,0.914,-0.569,,,,9.63,2.707,1.13,-0.291,,,,9.66,2.725,1.143,-0.285,,,,9.69,2.988,1.456,0.116
9.6,2.594,0.873,-0.626,,,,9.63,2.658,1.071,-0.367,,,,9.66,2.674,1.084,-0.359,,,,9.69,2.94,1.394,0.033
9.6,2.59,0.832,-0.682,,,,9.63,2.622,1.019,-0.435,,,,9.66,2.653,1.034,-0.426,,,,9.69,2.892,1.333,-0.047
9.6,2.591,0.796,-0.734,,,,9.63,2.622,0.972,-0.5,,,,9.66,2.654,0.99,-0.488,,,,9.69,2.841,1.274,-0.125
9.6,2.591,0.763,-0.781,,,,9.63,2.624,0.928,-0.562,,,,9.66,2.653,0.945,-0.551,,,,9.69,2.79,1.213,-0.203
9.6,2.587,0.73,-0.825,,,,9.63,2.622,0.889,-0.616,,,,9.66,2.652,0.906,-0.604,,,,9.69,2.741,1.154,-0.279
9.6,2.588,0.704,-0.864,,,,9.63,2.62,0.849,-0.671,,,,9.66,2.651,0.869,-0.656,,,,9.69,2.689,1.096,-0.352
9.6,2.587,0.681,-0.896,,,,9.63,2.621,0.812,-0.723,,,,9.66,2.65,0.831,-0.708,,,,9.69,2.684,1.049,-0.417
9.6,2.584,0.665,-0.918,,,,9.63,2.62,0.782,-0.766,,,,9.66,2.649,0.802,-0.749,,,,9.69,2.685,1.005,-0.479
9.6,2.587,0.65,-0.942,,,,9.63,2.617,0.751,-0.809,,,,9.66,2.648,0.773,-0.79,,,,9.69,2.683,0.962,-0.539
9.6,2.587,0.652,-0.941,,,,9.63,2.618,0.724,-0.848,,,,9.66,2.647,0.747,-0.828,,,,9.69,2.682,0.924,-0.591
9.6,2.587,0.658,-0.934,,,,9.63,2.614,0.705,-0.873,,,,9.66,2.643,0.727,-0.854,,,,9.69,2.682,0.886,-0.644
9.6,2.587,0.678,-0.908,,,,9.63,2.614,0.691,-0.894,,,,9.66,2.647,0.714,-0.877,,,,9.69,2.679,0.851,-0.692
9.6,2.586,0.709,-0.868,,,,9.63,2.617,0.681,-0.912,,,,9.66,2.646,0.715,-0.876,,,,9.69,2.678,0.823,-0.732
9.6,2.586,0.749,-0.814,,,,9.63,2.616,0.685,-0.906,,,,9.66,2.646,0.721,-0.869,,,,9.69,2.678,0.794,-0.773
9.6,2.584,0.807,-0.736,,,,9.63,2.617,0.692,-0.899,,,,9.66,2.645,0.741,-0.843,,,,9.69,2.674,0.771,-0.805
